entry_date,exit_date,entry_price,exit_price,shares,fees,stop_price,target_price,entry_index,exit_index,exit_reason,pnl,return_pct
2022-01-19,2022-01-21,166.313,162.329,121.762,0.852332,0,inf,10363,10365,strategy_sell,-485.989,-0.0239567
2022-02-04,2022-02-09,172.476,176.192,114.593,0.802152,0,inf,10375,10378,strategy_sell,424.988,0.0215431
2022-02-11,2022-02-14,168.724,168.796,119.66,0.837621,0,inf,10380,10381,strategy_sell,7.68768,0.000422263
2022-02-17,2022-03-01,168.964,163.118,119.536,0.836749,0,inf,10384,10391,strategy_sell,-699.647,-0.0345993
2022-03-23,2022-04-20,170.295,167.146,114.493,0.801452,0,inf,10407,10426,strategy_sell,-361.31,-0.0184898
2022-06-10,2022-06-14,137.199,132.694,139.478,0.976348,0,inf,10462,10464,strategy_sell,-629.32,-0.0328353
2022-07-12,2022-08-09,145.933,164.838,126.818,0.887727,0,inf,10482,10502,max_hold,2396.56,0.129543
2022-08-10,2022-09-01,169.325,157.881,123.452,0.864166,0,inf,10503,10519,strategy_sell,-1413.6,-0.0675838
2022-10-27,2022-11-04,144.872,138.311,134.531,0.941719,0,inf,10558,10564,strategy_sell,-883.681,-0.0452922
2022-11-10,2022-11-11,146.943,149.625,126.622,0.886352,0,inf,10568,10569,strategy_sell,338.677,0.01825
2022-11-14,2022-11-23,148.354,150.994,127.701,0.893904,0,inf,10570,10577,strategy_sell,336.278,0.0177975
2022-11-25,2022-11-29,148.184,141.099,130.116,0.910815,0,inf,10578,10580,strategy_sell,-922.739,-0.0478098
2022-12-02,2022-12-12,147.884,144.418,124.141,0.868987,0,inf,10583,10589,strategy_sell,-431.159,-0.0234383
2023-01-19,2023-02-16,135.338,153.633,132.463,0.927243,0,inf,10614,10634,max_hold,2422.56,0.135184
2023-02-17,2023-03-03,152.626,150.954,133.331,0.933317,0,inf,10635,10644,strategy_sell,-223.835,-0.0109535
2023-03-08,2023-03-09,152.946,150.515,131.588,0.921119,0,inf,10647,10648,strategy_sell,-320.909,-0.0158992
2023-03-10,2023-03-13,148.574,150.395,133.301,0.933106,0,inf,10649,10650,strategy_sell,241.743,0.0122532
2023-03-20,2023-04-18,157.479,166.387,127.299,0.891091,0,inf,10655,10675,max_hold,1133.1,0.0565668
2023-04-19,2023-05-17,167.714,172.604,126.286,0.884003,0,inf,10676,10696,max_hold,616.635,0.0291558
2023-05-18,2023-06-16,175.138,184.828,124.454,0.871178,0,inf,10697,10717,max_hold,1205.09,0.055328
2023-06-20,2023-07-19,185.102,195.002,124.264,0.869851,0,inf,10718,10738,max_hold,1229.34,0.0534836
2023-07-20,2023-08-08,193.227,179.71,125.402,0.877814,0,inf,10739,10752,strategy_sell,-1695.87,-0.0699514
2023-09-05,2023-09-11,189.795,179.27,118.734,0.83114,0,inf,10771,10775,strategy_sell,-1250.45,-0.0554521
2023-09-12,2023-09-13,176.388,174.123,120.67,0.844688,0,inf,10776,10777,strategy_sell,-274.192,-0.0128424
2023-09-18,2023-09-22,178.059,174.703,117.998,0.825983,0,inf,10780,10784,strategy_sell,-396.871,-0.0188499
2023-10-11,2023-10-18,179.89,175.752,114.59,0.802133,0,inf,10797,10802,strategy_sell,-474.957,-0.023002
2023-10-19,2023-10-24,175.548,173.353,114.719,0.803035,0,inf,10803,10806,strategy_sell,-252.549,-0.0125006
2023-10-25,2023-10-30,171.186,170.205,116.167,0.81317,0,inf,10807,10810,strategy_sell,-114.739,-0.00572892
2023-11-06,2023-11-07,179.32,181.729,110.258,0.771806,0,inf,10815,10816,strategy_sell,264.893,0.0134368
2023-11-08,2023-12-07,182.981,194.173,109.499,0.766494,0,inf,10817,10837,max_hold,1224.69,0.0611615
2023-12-08,2024-01-04,195.808,181.819,108.581,0.760067,0,inf,10838,10855,strategy_sell,-1519.68,-0.0714415
2024-01-25,2024-01-30,194.267,187.946,101.62,0.711338,0,inf,10869,10872,strategy_sell,-643.06,-0.0325382
2024-02-01,2024-02-16,186.953,182.219,102.155,0.715087,0,inf,10874,10885,strategy_sell,-484.379,-0.025325
2024-04-05,2024-04-08,169.665,168.366,109.71,0.767969,0,inf,10918,10919,strategy_sell,-143.283,-0.00765639
2024-04-15,2024-04-17,172.776,167.916,106.905,0.748333,0,inf,10924,10926,strategy_sell,-520.343,-0.0281309
2024-05-01,2024-05-30,169.385,191.194,105.973,0.741814,0,inf,10936,10956,max_hold,2310.51,0.128758
2024-05-31,2024-07-01,192.346,216.642,105.335,0.737345,0,inf,10957,10977,max_hold,2558.43,0.126311
2024-07-02,2024-07-31,220.38,221.969,103.545,0.724814,0,inf,10978,10998,max_hold,163.79,0.00720946
2024-08-02,2024-08-05,219.97,209.165,104.482,0.731377,0,inf,11000,11001,strategy_sell,-1129.62,-0.0491184
2024-08-19,2024-09-12,226.003,222.659,96.6952,0.7,0,inf,11011,11028,strategy_sell,-324.08,-0.0147977
2024-09-13,2024-09-16,222.611,216.212,96.7127,0.7,0,inf,11029,11030,strategy_sell,-619.603,-0.028747
2024-09-23,2024-09-25,226.583,226.257,92.2827,0.7,0,inf,11035,11037,strategy_sell,-30.8235,-0.00144065
2024-10-02,2024-10-29,226.893,233.553,92.0207,0.7,0,inf,11042,11061,strategy_sell,612.137,0.029352
2024-10-30,2024-11-04,230.215,221.899,93.352,0.7,0,inf,11062,11065,strategy_sell,-777.021,-0.036123
2024-11-05,2024-11-06,223.562,222.609,92.6546,0.7,0,inf,11066,11067,strategy_sell,-89.0073,-0.00426317
2024-11-29,2024-12-30,237.449,252.074,86.8609,0.7,0,inf,11083,11103,max_hold,1269.66,0.0615932
2024-12-31,2025-01-10,250.545,236.732,87.3881,0.7,0,inf,11104,11110,strategy_sell,-1207.85,-0.0551343
2025-02-18,2025-03-03,244.592,237.911,84.5768,0.7,0,inf,11135,11144,strategy_sell,-565.779,-0.0273159
2025-03-04,2025-03-12,236.048,216.872,85.2413,0.7,0,inf,11145,11151,strategy_sell,-1635.33,-0.0812396
2025-05-05,2025-05-09,198.989,198.431,92.898,0.7,0,inf,11188,11192,strategy_sell,-52.6031,-0.00280774
2025-05-12,2025-05-23,210.895,195.172,87.4041,0.7,0,inf,11193,11202,strategy_sell,-1374.96,-0.0745536
2025-06-04,2025-06-11,202.921,198.681,84.0629,0.7,0,inf,11209,11214,strategy_sell,-357.195,-0.0208988
2025-06-25,2025-07-24,201.661,213.653,82.8171,0.7,0,inf,11223,11243,max_hold,992.471,0.0594679
2025-07-25,2025-08-01,213.987,202.279,82.6846,0.7,0,inf,11244,11249,strategy_sell,-968.782,-0.0547142
2025-08-08,2025-09-08,229.465,237.761,72.8855,0.7,0,inf,11254,11274,max_hold,603.986,0.0361554
2025-09-09,2025-09-12,234.467,233.953,73.9064,0.7,0,inf,11275,11278,strategy_sell,-38.7033,-0.00219309
2025-09-16,2025-10-14,238.269,247.646,72.5647,0.7,0,inf,11280,11300,max_hold,679.743,0.0393549
2025-10-15,2025-10-21,249.465,262.639,72.033,0.7,0,inf,11301,11305,strategy_sell,948.258,0.0528088
2025-10-22,2025-11-19,258.579,268.426,73.1611,0.7,0,inf,11306,11326,max_hold,719.679,0.0380792
2025-11-20,2025-12-19,266.383,273.533,73.7194,0.7,0,inf,11327,11347,max_hold,526.398,0.0268412
2025-12-22,2025-12-24,271.105,273.673,74.377,0.7,0,inf,11348,11350,strategy_sell,190.271,0.00947088
