date,ticker,ret_1d,ret_5d,ret_10d,ret_20d,rsi_14,atr_14_pct,volume_ratio_20,dist_ma20,dist_ma50,dist_ma200,rolling_vol_20,label_target_stop,label_median_return,forward_return
1981-10-30,AAPL,0.0126574,0.0526403,0.0958968,0.21212,57.1416,0.0236623,1.32154,0.0617146,0.0799167,-0.197851,0.0270594,0,0,-0.0687566
1981-11-02,AAPL,0,0.0526403,0.0738331,0.176472,57.1416,0.0232159,0.932417,0.053327,0.0800625,-0.195775,0.0267283,0,0,-0.0687566
1981-11-03,AAPL,-0.0124992,0.0193535,0.00636899,0.170372,68.5711,0.0203446,0.716832,0.0323455,0.0655554,-0.203886,0.026904,0,1,-0.0506408
1981-11-04,AAPL,-0.0253147,-0.0374975,-0.019107,0.0769308,58.3346,0.020873,0.613051,0.00260866,0.0387212,-0.221962,0.0251449,1,1,-0.03897
1981-11-05,AAPL,-0.0714352,-0.0949416,-0.0833391,-0.0337817,46.6672,0.0269749,0.607561,-0.0674953,-0.0343077,-0.275345,0.0289976,1,1,0.0629331
1981-11-06,AAPL,0.00699257,-0.100004,-0.0526285,-0.033555,44.187,0.0257956,0.665495,-0.0594414,-0.0263716,-0.268089,0.029001,1,1,0.0624961
1981-11-09,AAPL,0.013888,-0.0875053,-0.0394714,-0.0519561,35.1349,0.0225061,0.556796,-0.0438805,-0.0108433,-0.255806,0.0281226,1,1,0.0273956
1981-11-10,AAPL,0.00684889,-0.0696269,-0.0516209,-0.045463,36.8416,0.0228389,0.475494,-0.0351201,-0.00217565,-0.248622,0.0281896,0,1,0.0272092
1981-11-11,AAPL,0.0272092,-0.0194908,-0.0562574,0.0413768,43.9011,0.024126,0.782648,-0.0108142,0.027765,-0.226259,0.0256703,0,1,0
1981-11-12,AAPL,0.0331225,0.0909159,-0.0126574,0.0540629,54.7634,0.0242682,1.12174,0.0192788,0.0644151,-0.198928,0.0262506,1,1,-0.0384704
1981-11-13,AAPL,-0.0705194,0.00694401,-0.0937549,-0.00684889,43.3971,0.0310361,0.603565,-0.0522906,-0.00793918,-0.253867,0.0306187,1,1,0
1981-11-16,AAPL,-0.0137923,-0.0205467,-0.106254,-0.040266,38.461,0.0299708,0.646134,-0.0635256,-0.018937,-0.26283,0.0303878,1,1,0.0419554
1981-11-17,AAPL,0.0209777,-0.00680231,-0.0759555,-0.0700703,35.9997,0.0283766,1.01489,-0.0404239,0.00329559,-0.245908,0.028167,1,1,0.0685012
1981-11-18,AAPL,0.0342445,0,-0.0194908,-0.0382254,43.3952,0.0293291,0.896499,-0.00560258,0.0386524,-0.218511,0.0293275,1,1,0.11921
1981-11-19,AAPL,0,-0.0320606,0.0559406,-0.0320606,41.1756,0.0283831,1.21625,-0.00396226,0.0397969,-0.21693,0.0293076,0,1,0.211932
1981-11-20,AAPL,0.00662212,0.0482729,0.0555521,0,42.3068,0.0286663,1.14069,0.00263363,0.047404,-0.210147,0.0288004,1,1,0.151319
1981-11-23,AAPL,-0.0460499,0.0139851,-0.00684889,-0.0460499,38.596,0.032513,0.691843,-0.0413244,0.000135964,-0.245088,0.0305311,1,1,0.227585
1981-11-24,AAPL,-0.00689613,-0.0136978,-0.0204069,-0.0709744,40.74,0.0312507,0.738087,-0.0444605,-0.00621276,-0.248847,0.0301372,1,1,0.208333
1981-11-25,AAPL,0.020832,-0.0264885,-0.0264885,-0.0812557,54.3475,0.027211,1.72671,-0.0203289,0.0142099,-0.231917,0.0295624,1,1,0.190477
1981-11-27,AAPL,0.0272092,0,-0.0320606,-0.0443121,57.1423,0.0279092,1.21056,0.0086805,0.0403703,-0.20982,0.0302359,1,1,0.105966
1981-11-30,AAPL,-0.0132442,-0.0197357,0.0275845,-0.0687566,53.061,0.0278045,0.817075,-0.00100804,0.0256021,-0.219162,0.0301437,1,1,0.140943
1981-12-01,AAPL,0,0.0275845,0.0419554,-0.0687566,52.0832,0.0273251,0.816039,0.00268981,0.0247557,-0.217933,0.0301437,1,1,0.18792
1981-12-02,AAPL,0.00671101,0.0416641,0.0273956,-0.0506408,48.889,0.0257145,1.29015,0.0121438,0.0295089,-0.211277,0.0301347,1,1,0.180001
1981-12-03,AAPL,-0.0133325,0.00680231,-0.0198664,-0.03897,40.4745,0.0241307,0.705718,0.000675485,0.013557,-0.220624,0.0297849,1,1,0.18919
1981-12-04,AAPL,0.0270254,0.00662212,0.00662212,0.0629331,60,0.0206755,3.95977,0.0246019,0.0379634,-0.198675,0.0256776,0,1,0.0986902
1981-12-07,AAPL,0.00657856,0.026844,0.00657856,0.0624961,64.7059,0.0205412,1.63018,0.0282235,0.0392563,-0.192467,0.0256749,1,1,0.0784385
1981-12-08,AAPL,-0.0196067,0.00671101,0.0344806,0.0273956,55.8824,0.0204758,1.33629,0.0067104,0.0140583,-0.207463,0.0260243,1,1,0.0133325
