label,model,fold,test_year,auc,precision,recall,f1,brier,pos_rate_train,pos_rate_test
target_stop,logistic,1,1985,0.5689028302559349,0.3854166666666667,0.4457831325301205,0.4134078212290503,0.2407087712174737,0.2971887550200803,0.32936507936507936
target_stop,xgboost,1,1985,0.6048335353247309,0.3894736842105263,0.4457831325301205,0.4157303370786517,0.2729026254113123,0.2971887550200803,0.32936507936507936
target_stop,lightgbm,1,1985,0.5926427603906752,0.37755102040816324,0.4457831325301205,0.4088397790055249,0.26938803969850617,0.2971887550200803,0.32936507936507936
target_stop,logistic,2,1986,0.4818376068376068,0.45588235294117646,0.5299145299145299,0.4901185770750988,0.2609049235462364,0.2982982982982983,0.4624505928853755
target_stop,xgboost,2,1986,0.4009552538964304,0.35294117647058826,0.2564102564102564,0.297029702970297,0.3572348032536887,0.2982982982982983,0.4624505928853755
target_stop,lightgbm,2,1986,0.3970588235294118,0.3557692307692308,0.3162393162393162,0.334841628959276,0.3596478638227439,0.2982982982982983,0.4624505928853755
target_stop,logistic,3,1987,0.42042099858811455,0.37748344370860926,0.5377358490566038,0.44357976653696496,0.2669946746913778,0.33785942492012777,0.4189723320158103
target_stop,xgboost,3,1987,0.5690540367090232,0.4391891891891892,0.6132075471698113,0.5118110236220472,0.3002335525661917,0.33785942492012777,0.4189723320158103
target_stop,lightgbm,3,1987,0.5241304068797331,0.4267515923566879,0.6320754716981132,0.5095057034220533,0.31628980413464275,0.33785942492012777,0.4189723320158103
target_stop,logistic,4,1988,0.42925015492666807,0.20725388601036268,0.851063829787234,0.3333333333333333,0.28542724720998547,0.3501661129568106,0.1857707509881423
target_stop,xgboost,4,1988,0.4486676306548234,0.1652892561983471,0.425531914893617,0.23809523809523808,0.30181863247666846,0.3501661129568106,0.1857707509881423
target_stop,lightgbm,4,1988,0.4398884527990084,0.13793103448275862,0.2553191489361702,0.1791044776119403,0.27678134488848183,0.3501661129568106,0.1857707509881423
target_stop,logistic,5,1989,0.578622668579627,0.36486486486486486,0.6585365853658537,0.46956521739130436,0.2544795889334104,0.32992036405005687,0.3253968253968254
target_stop,xgboost,5,1989,0.3280487804878049,0.13114754098360656,0.0975609756097561,0.11188811188811189,0.3059753336438424,0.32992036405005687,0.3253968253968254
target_stop,lightgbm,5,1989,0.3432568149210904,0.12,0.07317073170731707,0.09090909090909091,0.29464171487052565,0.32992036405005687,0.3253968253968254
target_stop,logistic,6,1990,0.6294077134986226,0.41721854304635764,0.7159090909090909,0.5271966527196653,0.24777349295350426,0.3308457711442786,0.34782608695652173
target_stop,xgboost,6,1990,0.628099173553719,0.4578313253012048,0.4318181818181818,0.4444444444444444,0.22646831972182524,0.3308457711442786,0.34782608695652173
