model,fold,test_year,auc,precision,recall,f1,brier_score
xgboost,28,2012,0.5382,0.4118,0.1207,0.1867,0.1908
lightgbm,28,2012,0.5736,0.2857,0.069,0.1111,0.187
logistic,29,2013,0.4617,0.0,0.0,0.0,0.1978
xgboost,29,2013,0.5204,0.3529,0.0952,0.15,0.2027
lightgbm,29,2013,0.5105,0.2979,0.2222,0.2545,0.2148
logistic,30,2014,0.4516,0.0,0.0,0.0,0.1745
xgboost,30,2014,0.5652,0.3333,0.0909,0.1429,0.1619
lightgbm,30,2014,0.5759,0.3,0.1364,0.1875,0.1622
logistic,31,2015,0.4384,0.0,0.0,0.0,0.1528
xgboost,31,2015,0.6387,0.0769,0.0286,0.0417,0.1466
lightgbm,31,2015,0.6424,0.125,0.0286,0.0465,0.1436
logistic,32,2016,0.449,0.0,0.0,0.0,0.1573
xgboost,32,2016,0.5689,0.1429,0.1579,0.15,0.1752
lightgbm,32,2016,0.5718,0.1724,0.2632,0.2083,0.1854
logistic,33,2017,0.4239,0.0,0.0,0.0,0.1693
xgboost,33,2017,0.3264,0.0,0.0,0.0,0.1797
lightgbm,33,2017,0.2866,0.0,0.0,0.0,0.1873
logistic,34,2018,0.4241,0.0,0.0,0.0,0.1434
xgboost,34,2018,0.292,0.1429,0.0625,0.087,0.1592
lightgbm,34,2018,0.3349,0.3333,0.0625,0.1053,0.1482
logistic,35,2019,0.3938,0.0,0.0,0.0,0.2481
xgboost,35,2019,0.4307,1.0,0.0714,0.1333,0.2653
lightgbm,35,2019,0.4142,1.0,0.0714,0.1333,0.2693
logistic,36,2020,0.563,0.0,0.0,0.0,0.2509
xgboost,36,2020,0.3883,0.2727,0.0571,0.0945,0.27
lightgbm,36,2020,0.3795,0.25,0.019,0.0354,0.267
logistic,37,2021,0.4932,0.0,0.0,0.0,0.2002
xgboost,37,2021,0.4474,0.0,0.0,0.0,0.2108
lightgbm,37,2021,0.4218,0.0,0.0,0.0,0.2119
logistic,38,2022,0.4281,0.0,0.0,0.0,0.181
xgboost,38,2022,0.5315,0.0,0.0,0.0,0.1791
lightgbm,38,2022,0.5415,0.0,0.0,0.0,0.1795
logistic,39,2023,0.2561,0.0,0.0,0.0,0.1508
xgboost,39,2023,0.509,0.0,0.0,0.0,0.1339
lightgbm,39,2023,0.5532,0.0,0.0,0.0,0.1301
logistic,40,2024,0.5924,0.0,0.0,0.0,0.1857
xgboost,40,2024,0.5006,0.0,0.0,0.0,0.194
lightgbm,40,2024,0.4764,0.0,0.0,0.0,0.1956
logistic,41,2025,0.3836,0.0,0.0,0.0,0.1492
xgboost,41,2025,0.3859,0.1111,0.0286,0.0455,0.1582
lightgbm,41,2025,0.3834,0.1429,0.0286,0.0476,0.1586
